------------------------------------------------
Job ID: 39048265
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Sun Mar 14 19:48:08 GMT 2021
------------------------------------------------
Loading ixi train data.
The data was balanced for  sex .
Loading ixi   val data.
Number of GPUs:  2
Epoch decay:  30
Gamma decay:  0.5

Full model is being trained with random initialization.
Start:  2021-03-14 19:48:15.261213
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train ent: 1.23426 |train ent ravg: 1.23426 |train acc:  0.44167 |train acc ravg:  0.44167 |val ent: 0.86919 |val entravg: 0.86919 |val acc:  0.58333 |val acc ravg:  0.58333 |
|epoch:   1 | lr: 0.100 |train ent: 0.75754 |train ent ravg: 0.99590 |train acc:  0.50833 |train acc ravg:  0.47500 |val ent: 0.74322 |val entravg: 0.80621 |val acc:  0.41667 |val acc ravg:  0.50000 |
|epoch:   2 | lr: 0.100 |train ent: 0.71600 |train ent ravg: 0.90260 |train acc:  0.55417 |train acc ravg:  0.50139 |val ent: 0.70278 |val entravg: 0.77173 |val acc:  0.41667 |val acc ravg:  0.47222 |
|epoch:   3 | lr: 0.100 |train ent: 0.72771 |train ent ravg: 0.85888 |train acc:  0.46250 |train acc ravg:  0.49167 |val ent: 0.68259 |val entravg: 0.74945 |val acc:  0.58333 |val acc ravg:  0.50000 |
|epoch:   4 | lr: 0.100 |train ent: 0.71632 |train ent ravg: 0.83037 |train acc:  0.49583 |train acc ravg:  0.49250 |val ent: 0.68330 |val entravg: 0.73622 |val acc:  0.59259 |val acc ravg:  0.51852 |
|epoch:   5 | lr: 0.100 |train ent: 0.74074 |train ent ravg: 0.73166 |train acc:  0.49583 |train acc ravg:  0.50333 |val ent: 0.67872 |val entravg: 0.69812 |val acc:  0.58333 |val acc ravg:  0.51852 |
|epoch:   6 | lr: 0.100 |train ent: 0.71968 |train ent ravg: 0.72409 |train acc:  0.49167 |train acc ravg:  0.50000 |val ent: 0.70094 |val entravg: 0.68967 |val acc:  0.41667 |val acc ravg:  0.51852 |
|epoch:   7 | lr: 0.100 |train ent: 0.75432 |train ent ravg: 0.73175 |train acc:  0.54167 |train acc ravg:  0.49750 |val ent: 0.71524 |val entravg: 0.69216 |val acc:  0.41667 |val acc ravg:  0.51852 |
|epoch:   8 | lr: 0.100 |train ent: 0.72122 |train ent ravg: 0.73046 |train acc:  0.54167 |train acc ravg:  0.51333 |val ent: 0.76836 |val entravg: 0.70931 |val acc:  0.58333 |val acc ravg:  0.51852 |
|epoch:   9 | lr: 0.100 |train ent: 0.76556 |train ent ravg: 0.74031 |train acc:  0.42083 |train acc ravg:  0.49833 |val ent: 0.70058 |val entravg: 0.71277 |val acc:  0.41667 |val acc ravg:  0.48333 |
|epoch:  10 | lr: 0.100 |train ent: 0.69449 |train ent ravg: 0.73106 |train acc:  0.59583 |train acc ravg:  0.51833 |val ent: 0.79406 |val entravg: 0.73584 |val acc:  0.46296 |val acc ravg:  0.45926 |
