------------------------------------------------
Job ID: 35987700
Run on host: compg013.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Wed Feb 10 06:33:24 GMT 2021
------------------------------------------------
Number of GPUs:  2
----------------------------------------------------------------------------------------------------------------------
Passed arguments: 
{'DEBUG': 'full', 'TRAIN': 'fresh', 'BATCH_SIZE': 8, 'NUM_WORKERS': 4, 'LOSS': 'kl', 'DROP': 'drop', 'PRE': 'age', 'TASK': 'age', 'RUN': 0, 'PATH': None, 'PL': 'none', 'PRO': 'full', 'WDEC': 0.001, 'MOM': 0.9, 'GAMMA': 0.3, 'N_EPOCHS': 500, 'PAT': 30, 'LR': 0.01, 'PL_LL': 'none', 'WDEC_LL': 0.0, 'MOM_LL': 0.0, 'GAMMA_LL': 0.1, 'N_EPOCHS_LL': 3, 'PAT_LL': 1, 'LR_LL': 0.01, 'PRINT_EVERY': 1}

----------------------------------------------------------------------------------------------------------------------
Pre-trained on:  age  prediction.
Run:  run_20191206_00_epoch_best_mae.p
Loading loaded OASIS train data.
Loading loaded OASIS   val data.

Start training of full model:  2021-02-10 06:33:32.749933
----------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train kld: 2.42811 |train kld ravg: 2.42811 |train mae:  6.26759 |train mae ravg:  6.26759 |val kld: 2.28041 |val kldravg: 2.28041 |val mae:  7.49142 |val mae ravg:  7.49142 |
|epoch:   1 | lr: 0.010 |train kld: 2.12313 |train kld ravg: 2.27562 |train mae:  5.95693 |train mae ravg:  6.11226 |val kld: 2.29532 |val kldravg: 2.28787 |val mae:  7.28584 |val mae ravg:  7.38863 |
|epoch:   2 | lr: 0.010 |train kld: 2.04869 |train kld ravg: 2.19998 |train mae:  5.85501 |train mae ravg:  6.02651 |val kld: 2.22965 |val kldravg: 2.26846 |val mae:  6.82535 |val mae ravg:  7.20087 |
|epoch:   3 | lr: 0.010 |train kld: 2.01952 |train kld ravg: 2.06378 |train mae:  5.78417 |train mae ravg:  5.86537 |val kld: 2.31963 |val kldravg: 2.28153 |val mae:  7.08232 |val mae ravg:  7.06450 |
|epoch:   4 | lr: 0.010 |train kld: 1.97499 |train kld ravg: 2.01440 |train mae:  5.59588 |train mae ravg:  5.74502 |val kld: 2.26419 |val kldravg: 2.27116 |val mae:  7.64000 |val mae ravg:  7.18255 |
|epoch:   5 | lr: 0.010 |train kld: 2.01285 |train kld ravg: 2.00245 |train mae:  5.82316 |train mae ravg:  5.73441 |val kld: 2.67739 |val kldravg: 2.42040 |val mae:  7.30653 |val mae ravg:  7.34295 |
|epoch:   6 | lr: 0.010 |train kld: 1.95876 |train kld ravg: 1.98220 |train mae:  5.55465 |train mae ravg:  5.65790 |val kld: 2.16735 |val kldravg: 2.36964 |val mae:  6.85328 |val mae ravg:  7.26660 |
|epoch:   7 | lr: 0.010 |train kld: 1.96094 |train kld ravg: 1.97752 |train mae:  5.44025 |train mae ravg:  5.60602 |val kld: 2.81452 |val kldravg: 2.55308 |val mae:  7.63446 |val mae ravg:  7.26476 |
|epoch:   8 | lr: 0.010 |train kld: 1.93904 |train kld ravg: 1.95291 |train mae:  5.39989 |train mae ravg:  5.46493 |val kld: 2.18454 |val kldravg: 2.38880 |val mae:  6.69285 |val mae ravg:  7.06020 |
|epoch:   9 | lr: 0.010 |train kld: 1.93148 |train kld ravg: 1.94382 |train mae:  5.47468 |train mae ravg:  5.43828 |val kld: 2.94310 |val kldravg: 2.64739 |val mae:  8.02927 |val mae ravg:  7.45219 |
|epoch:  10 | lr: 0.010 |train kld: 1.92322 |train kld ravg: 1.93125 |train mae:  5.45415 |train mae ravg:  5.44291 |val kld: 2.24116 |val kldravg: 2.45627 |val mae:  7.32503 |val mae ravg:  7.34905 |
|epoch:  11 | lr: 0.010 |train kld: 1.92524 |train kld ravg: 1.92665 |train mae:  5.48596 |train mae ravg:  5.47160 |val kld: 2.13843 |val kldravg: 2.44090 |val mae:  7.39728 |val mae ravg:  7.58386 |
|epoch:  12 | lr: 0.010 |train kld: 1.87537 |train kld ravg: 1.90795 |train mae:  5.13747 |train mae ravg:  5.35919 |val kld: 2.68233 |val kldravg: 2.35397 |val mae:  7.87201 |val mae ravg:  7.53144 |
|epoch:  13 | lr: 0.010 |train kld: 1.87863 |train kld ravg: 1.89308 |train mae:  5.17942 |train mae ravg:  5.26762 |val kld: 2.04405 |val kldravg: 2.28827 |val mae:  5.66572 |val mae ravg:  6.97834 |
|epoch:  14 | lr: 0.010 |train kld: 1.87771 |train kld ravg: 1.87724 |train mae:  5.22903 |train mae ravg:  5.18197 |val kld: 3.06621 |val kldravg: 2.59753 |val mae:  8.08699 |val mae ravg:  7.20824 |
|epoch:  15 | lr: 0.010 |train kld: 1.86170 |train kld ravg: 1.87268 |train mae:  5.18201 |train mae ravg:  5.19682 |val kld: 3.68772 |val kldravg: 2.93266 |val mae:  9.17265 |val mae ravg:  7.64179 |
|epoch:  16 | lr: 0.010 |train kld: 1.85760 |train kld ravg: 1.86567 |train mae:  5.14809 |train mae ravg:  5.18638 |val kld: 2.55660 |val kldravg: 3.10351 |val mae:  9.42812 |val mae ravg:  8.89592 |
|epoch:  17 | lr: 0.010 |train kld: 1.83766 |train kld ravg: 1.85232 |train mae:  5.18729 |train mae ravg:  5.17246 |val kld: 2.03627 |val kldravg: 2.76020 |val mae:  6.29352 |val mae ravg:  8.29810 |
|epoch:  18 | lr: 0.010 |train kld: 1.84747 |train kld ravg: 1.84758 |train mae:  5.19529 |train mae ravg:  5.17689 |val kld: 2.85735 |val kldravg: 2.48341 |val mae:  10.05276 |val mae ravg:  8.59147 |
|epoch:  19 | lr: 0.010 |train kld: 1.82805 |train kld ravg: 1.83773 |train mae:  5.12170 |train mae ravg:  5.16809 |val kld: 2.57477 |val kldravg: 2.48946 |val mae:  8.89326 |val mae ravg:  8.41318 |
|epoch:  20 | lr: 0.010 |train kld: 1.81050 |train kld ravg: 1.82867 |train mae:  4.95564 |train mae ravg:  5.09088 |val kld: 2.20704 |val kldravg: 2.54638 |val mae:  5.94466 |val mae ravg:  8.29689 |
|epoch:  21 | lr: 0.010 |train kld: 1.80505 |train kld ravg: 1.81453 |train mae:  4.94216 |train mae ravg:  5.00650 |val kld: 2.04176 |val kldravg: 2.27452 |val mae:  6.50631 |val mae ravg:  7.11474 |
|epoch:  22 | lr: 0.010 |train kld: 1.76315 |train kld ravg: 1.79290 |train mae:  4.68837 |train mae ravg:  4.86206 |val kld: 2.17905 |val kldravg: 2.14261 |val mae:  6.26211 |val mae ravg:  6.23769 |
|epoch:  23 | lr: 0.010 |train kld: 1.78286 |train kld ravg: 1.78369 |train mae:  4.70416 |train mae ravg:  4.77823 |val kld: 2.54624 |val kldravg: 2.25568 |val mae:  7.05170 |val mae ravg:  6.60670 |
|epoch:  24 | lr: 0.010 |train kld: 1.81315 |train kld ravg: 1.78639 |train mae:  4.97597 |train mae ravg:  4.78950 |val kld: 2.68538 |val kldravg: 2.47022 |val mae:  10.66859 |val mae ravg:  7.99413 |
|epoch:  25 | lr: 0.010 |train kld: 1.74620 |train kld ravg: 1.78074 |train mae:  4.60273 |train mae ravg:  4.76095 |val kld: 3.46892 |val kldravg: 2.90018 |val mae:  11.77382 |val mae ravg:  9.83137 |
|epoch:  26 | lr: 0.010 |train kld: 1.77458 |train kld ravg: 1.77798 |train mae:  4.69549 |train mae ravg:  4.75806 |val kld: 2.57074 |val kldravg: 2.90835 |val mae:  9.34550 |val mae ravg:  10.59597 |
|epoch:  27 | lr: 0.010 |train kld: 1.75971 |train kld ravg: 1.76016 |train mae:  4.63897 |train mae ravg:  4.64573 |val kld: 2.64575 |val kldravg: 2.89514 |val mae:  8.84475 |val mae ravg:  9.98802 |
|epoch:  28 | lr: 0.010 |train kld: 1.75995 |train kld ravg: 1.76475 |train mae:  4.70471 |train mae ravg:  4.67972 |val kld: 2.17109 |val kldravg: 2.46253 |val mae:  7.55474 |val mae ravg:  8.58166 |
|epoch:  29 | lr: 0.010 |train kld: 1.74799 |train kld ravg: 1.75588 |train mae:  4.68322 |train mae ravg:  4.67563 |val kld: 2.18172 |val kldravg: 2.33286 |val mae:  5.68272 |val mae ravg:  7.36073 |
|epoch:  30 | lr: 0.010 |train kld: 1.75257 |train kld ravg: 1.75350 |train mae:  4.62491 |train mae ravg:  4.67095 |val kld: 2.29001 |val kldravg: 2.21427 |val mae:  6.51611 |val mae ravg:  6.58452 |
|epoch:  31 | lr: 0.003 |train kld: 1.66302 |train kld ravg: 1.72119 |train mae:  4.19741 |train mae ravg:  4.50185 |val kld: 2.76019 |val kldravg: 2.41064 |val mae:  9.56357 |val mae ravg:  7.25414 |
