------------------------------------------------
Job ID: 36558263
Run on host: compg013.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Mon Feb 15 06:02:12 GMT 2021
------------------------------------------------
Number of GPUs:  2
----------------------------------------------------------------------------------------------------------------------
Passed arguments: 
{'DEBUG': 'full', 'TRAIN': 'pre_full', 'BATCH_SIZE': 4, 'NUM_WORKERS': 4, 'LOSS': 'ent', 'DROP': 0.6, 'PRE': 'age', 'TASK': 'sex', 'RUN': 0, 'PATH': '../../', 'INIT': 0, 'PL': 'none', 'PRO': 'full', 'WDEC': 0.05, 'MOM': 0.8, 'GAMMA': 0.2, 'N_EPOCHS': 200, 'PAT': 20, 'LR': 0.005, 'PL_LL': 'none', 'WDEC_LL': 0.001, 'MOM_LL': 0.9, 'GAMMA_LL': 0.1, 'N_EPOCHS_LL': 25, 'PAT_LL': 12, 'LR_LL': 0.01, 'RETRAIN': 4, 'PRINT_EVERY': 1}

----------------------------------------------------------------------------------------------------------------------
Pre-trained on:  age  prediction.
Run:  run_20191206_00_epoch_best_mae.p
Loading loaded OASIS train data.
Loading loaded OASIS   val data.

Start training of full model:  2021-02-15 06:02:20.524347
----------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.005 |train ent: 0.66061 |train ent ravg: 0.66061 |train acc:  0.61932 |train acc ravg:  0.61932 |val ent: 0.86050 |val entravg: 0.86050 |val acc:  0.44318 |val acc ravg:  0.44318 |
|epoch:   1 | lr: 0.005 |train ent: 0.60173 |train ent ravg: 0.63117 |train acc:  0.68750 |train acc ravg:  0.65341 |val ent: 1.62450 |val entravg: 1.24250 |val acc:  0.46591 |val acc ravg:  0.45455 |
|epoch:   2 | lr: 0.005 |train ent: 0.61198 |train ent ravg: 0.62477 |train acc:  0.65625 |train acc ravg:  0.65436 |val ent: 0.59890 |val entravg: 1.02797 |val acc:  0.71591 |val acc ravg:  0.54167 |
|epoch:   3 | lr: 0.005 |train ent: 0.58273 |train ent ravg: 0.59881 |train acc:  0.71023 |train acc ravg:  0.68466 |val ent: 1.81400 |val entravg: 1.34580 |val acc:  0.45455 |val acc ravg:  0.54545 |
|epoch:   4 | lr: 0.005 |train ent: 0.53267 |train ent ravg: 0.57579 |train acc:  0.74716 |train acc ravg:  0.70455 |val ent: 1.08493 |val entravg: 1.16595 |val acc:  0.45455 |val acc ravg:  0.54167 |
|epoch:   5 | lr: 0.005 |train ent: 0.53083 |train ent ravg: 0.54875 |train acc:  0.75852 |train acc ravg:  0.73864 |val ent: 1.34170 |val entravg: 1.41355 |val acc:  0.44318 |val acc ravg:  0.45076 |
|epoch:   6 | lr: 0.005 |train ent: 0.56225 |train ent ravg: 0.54192 |train acc:  0.74716 |train acc ravg:  0.75095 |val ent: 0.77290 |val entravg: 1.06651 |val acc:  0.60227 |val acc ravg:  0.50000 |
|epoch:   7 | lr: 0.005 |train ent: 0.57264 |train ent ravg: 0.55524 |train acc:  0.68466 |train acc ravg:  0.73011 |val ent: 0.54709 |val entravg: 0.88723 |val acc:  0.73864 |val acc ravg:  0.59470 |
|epoch:   8 | lr: 0.005 |train ent: 0.55383 |train ent ravg: 0.56291 |train acc:  0.72727 |train acc ravg:  0.71970 |val ent: 1.21746 |val entravg: 0.84582 |val acc:  0.46591 |val acc ravg:  0.60227 |
|epoch:   9 | lr: 0.005 |train ent: 0.54741 |train ent ravg: 0.55796 |train acc:  0.73864 |train acc ravg:  0.71686 |val ent: 0.63279 |val entravg: 0.79911 |val acc:  0.68182 |val acc ravg:  0.62879 |
|epoch:  10 | lr: 0.005 |train ent: 0.54366 |train ent ravg: 0.54830 |train acc:  0.76136 |train acc ravg:  0.74242 |val ent: 0.59900 |val entravg: 0.81642 |val acc:  0.72727 |val acc ravg:  0.62500 |
|epoch:  11 | lr: 0.005 |train ent: 0.56461 |train ent ravg: 0.55189 |train acc:  0.72727 |train acc ravg:  0.74242 |val ent: 0.78360 |val entravg: 0.67180 |val acc:  0.45455 |val acc ravg:  0.62121 |
|epoch:  12 | lr: 0.005 |train ent: 0.56405 |train ent ravg: 0.55744 |train acc:  0.72443 |train acc ravg:  0.73769 |val ent: 0.61125 |val entravg: 0.66462 |val acc:  0.63636 |val acc ravg:  0.60606 |
|epoch:  13 | lr: 0.005 |train ent: 0.54365 |train ent ravg: 0.55744 |train acc:  0.76136 |train acc ravg:  0.73769 |val ent: 0.88012 |val entravg: 0.75832 |val acc:  0.44318 |val acc ravg:  0.51136 |
|epoch:  14 | lr: 0.005 |train ent: 0.59578 |train ent ravg: 0.56783 |train acc:  0.70455 |train acc ravg:  0.73011 |val ent: 0.67382 |val entravg: 0.72173 |val acc:  0.70455 |val acc ravg:  0.59470 |
|epoch:  15 | lr: 0.005 |train ent: 0.56843 |train ent ravg: 0.56929 |train acc:  0.68466 |train acc ravg:  0.71686 |val ent: 0.73666 |val entravg: 0.76353 |val acc:  0.53409 |val acc ravg:  0.56061 |
|epoch:  16 | lr: 0.005 |train ent: 0.55921 |train ent ravg: 0.57447 |train acc:  0.75568 |train acc ravg:  0.71496 |val ent: 1.61635 |val entravg: 1.00894 |val acc:  0.43182 |val acc ravg:  0.55682 |
|epoch:  17 | lr: 0.005 |train ent: 0.58443 |train ent ravg: 0.57069 |train acc:  0.69034 |train acc ravg:  0.71023 |val ent: 1.13778 |val entravg: 1.16359 |val acc:  0.45455 |val acc ravg:  0.47348 |
|epoch:  18 | lr: 0.005 |train ent: 0.58386 |train ent ravg: 0.57583 |train acc:  0.69034 |train acc ravg:  0.71212 |val ent: 1.91579 |val entravg: 1.55664 |val acc:  0.44318 |val acc ravg:  0.44318 |
|epoch:  19 | lr: 0.005 |train ent: 0.58816 |train ent ravg: 0.58548 |train acc:  0.68466 |train acc ravg:  0.68845 |val ent: 0.64458 |val entravg: 1.23272 |val acc:  0.64773 |val acc ravg:  0.51515 |
|epoch:  20 | lr: 0.005 |train ent: 0.58191 |train ent ravg: 0.58464 |train acc:  0.71307 |train acc ravg:  0.69602 |val ent: 1.66589 |val entravg: 1.40876 |val acc:  0.43182 |val acc ravg:  0.50758 |
|epoch:  21 | lr: 0.001 |train ent: 0.55482 |train ent ravg: 0.57496 |train acc:  0.73295 |train acc ravg:  0.71023 |val ent: 0.59202 |val entravg: 0.96750 |val acc:  0.70455 |val acc ravg:  0.59470 |
|epoch:  22 | lr: 0.001 |train ent: 0.55076 |train ent ravg: 0.56249 |train acc:  0.74148 |train acc ravg:  0.72917 |val ent: 0.57382 |val entravg: 0.94391 |val acc:  0.75000 |val acc ravg:  0.62879 |
|epoch:  23 | lr: 0.001 |train ent: 0.55946 |train ent ravg: 0.55501 |train acc:  0.73580 |train acc ravg:  0.73674 |val ent: 0.68576 |val entravg: 0.61720 |val acc:  0.53409 |val acc ravg:  0.66288 |
|epoch:  24 | lr: 0.001 |train ent: 0.55382 |train ent ravg: 0.55468 |train acc:  0.75000 |train acc ravg:  0.74242 |val ent: 0.79355 |val entravg: 0.68438 |val acc:  0.47727 |val acc ravg:  0.58712 |
|epoch:  25 | lr: 0.001 |train ent: 0.54057 |train ent ravg: 0.55128 |train acc:  0.76136 |train acc ravg:  0.74905 |val ent: 0.86748 |val entravg: 0.78226 |val acc:  0.45455 |val acc ravg:  0.48864 |
|epoch:  26 | lr: 0.001 |train ent: 0.54124 |train ent ravg: 0.54521 |train acc:  0.73864 |train acc ravg:  0.75000 |val ent: 0.75791 |val entravg: 0.80631 |val acc:  0.50000 |val acc ravg:  0.47727 |
|epoch:  27 | lr: 0.001 |train ent: 0.54281 |train ent ravg: 0.54154 |train acc:  0.76136 |train acc ravg:  0.75379 |val ent: 0.63554 |val entravg: 0.75364 |val acc:  0.57955 |val acc ravg:  0.51136 |
|epoch:  28 | lr: 0.001 |train ent: 0.55910 |train ent ravg: 0.54772 |train acc:  0.74716 |train acc ravg:  0.74905 |val ent: 1.04744 |val entravg: 0.81363 |val acc:  0.45455 |val acc ravg:  0.51136 |
|epoch:  29 | lr: 0.001 |train ent: 0.55225 |train ent ravg: 0.55139 |train acc:  0.78125 |train acc ravg:  0.76326 |val ent: 0.59497 |val entravg: 0.75932 |val acc:  0.70455 |val acc ravg:  0.57955 |
|epoch:  30 | lr: 0.001 |train ent: 0.56110 |train ent ravg: 0.55748 |train acc:  0.73580 |train acc ravg:  0.75473 |val ent: 0.59883 |val entravg: 0.74708 |val acc:  0.62500 |val acc ravg:  0.59470 |
|epoch:  31 | lr: 0.001 |train ent: 0.55465 |train ent ravg: 0.55600 |train acc:  0.74432 |train acc ravg:  0.75379 |val ent: 0.94766 |val entravg: 0.71382 |val acc:  0.46591 |val acc ravg:  0.59848 |
|epoch:  32 | lr: 0.001 |train ent: 0.54792 |train ent ravg: 0.55456 |train acc:  0.71875 |train acc ravg:  0.73295 |val ent: 1.56592 |val entravg: 1.03747 |val acc:  0.44318 |val acc ravg:  0.51136 |
|epoch:  33 | lr: 0.001 |train ent: 0.53879 |train ent ravg: 0.54712 |train acc:  0.76420 |train acc ravg:  0.74242 |val ent: 0.77665 |val entravg: 1.09674 |val acc:  0.50000 |val acc ravg:  0.46970 |
|epoch:  34 | lr: 0.001 |train ent: 0.56103 |train ent ravg: 0.54925 |train acc:  0.75852 |train acc ravg:  0.74716 |val ent: 0.67692 |val entravg: 1.00650 |val acc:  0.61364 |val acc ravg:  0.51894 |
|epoch:  35 | lr: 0.001 |train ent: 0.55212 |train ent ravg: 0.55065 |train acc:  0.75284 |train acc ravg:  0.75852 |val ent: 0.63407 |val entravg: 0.69588 |val acc:  0.62500 |val acc ravg:  0.57955 |
|epoch:  36 | lr: 0.001 |train ent: 0.55337 |train ent ravg: 0.55551 |train acc:  0.75568 |train acc ravg:  0.75568 |val ent: 0.57583 |val entravg: 0.62894 |val acc:  0.68182 |val acc ravg:  0.64015 |
|epoch:  37 | lr: 0.001 |train ent: 0.53098 |train ent ravg: 0.54549 |train acc:  0.78409 |train acc ravg:  0.76420 |val ent: 0.74155 |val entravg: 0.65049 |val acc:  0.51136 |val acc ravg:  0.60606 |
|epoch:  38 | lr: 0.001 |train ent: 0.53794 |train ent ravg: 0.54076 |train acc:  0.75284 |train acc ravg:  0.76420 |val ent: 0.78843 |val entravg: 0.70194 |val acc:  0.48864 |val acc ravg:  0.56061 |
|epoch:  39 | lr: 0.001 |train ent: 0.54830 |train ent ravg: 0.53907 |train acc:  0.75284 |train acc ravg:  0.76326 |val ent: 0.59010 |val entravg: 0.70670 |val acc:  0.73864 |val acc ravg:  0.57955 |
|epoch:  40 | lr: 0.001 |train ent: 0.51655 |train ent ravg: 0.53426 |train acc:  0.78977 |train acc ravg:  0.76515 |val ent: 1.60340 |val entravg: 0.99398 |val acc:  0.45455 |val acc ravg:  0.56061 |
|epoch:  41 | lr: 0.001 |train ent: 0.51444 |train ent ravg: 0.52643 |train acc:  0.79545 |train acc ravg:  0.77936 |val ent: 1.86282 |val entravg: 1.35211 |val acc:  0.44318 |val acc ravg:  0.54545 |
|epoch:  42 | lr: 0.000 |train ent: 0.52299 |train ent ravg: 0.51799 |train acc:  0.77557 |train acc ravg:  0.78693 |val ent: 0.61511 |val entravg: 1.36044 |val acc:  0.59091 |val acc ravg:  0.49621 |
|epoch:  43 | lr: 0.000 |train ent: 0.52150 |train ent ravg: 0.51964 |train acc:  0.78977 |train acc ravg:  0.78693 |val ent: 0.55190 |val entravg: 1.00994 |val acc:  0.71591 |val acc ravg:  0.58333 |
|epoch:  44 | lr: 0.000 |train ent: 0.49968 |train ent ravg: 0.51472 |train acc:  0.84943 |train acc ravg:  0.80492 |val ent: 0.55348 |val entravg: 0.57350 |val acc:  0.71591 |val acc ravg:  0.67424 |
|epoch:  45 | lr: 0.000 |train ent: 0.50645 |train ent ravg: 0.50921 |train acc:  0.78977 |train acc ravg:  0.80966 |val ent: 0.64731 |val entravg: 0.58423 |val acc:  0.60227 |val acc ravg:  0.67803 |
|epoch:  46 | lr: 0.000 |train ent: 0.51304 |train ent ravg: 0.50639 |train acc:  0.80966 |train acc ravg:  0.81629 |val ent: 0.53748 |val entravg: 0.57942 |val acc:  0.79545 |val acc ravg:  0.70455 |
|epoch:  47 | lr: 0.000 |train ent: 0.49687 |train ent ravg: 0.50545 |train acc:  0.81534 |train acc ravg:  0.80492 |val ent: 0.73420 |val entravg: 0.63966 |val acc:  0.51136 |val acc ravg:  0.63636 |
|epoch:  48 | lr: 0.000 |train ent: 0.51286 |train ent ravg: 0.50759 |train acc:  0.80398 |train acc ravg:  0.80966 |val ent: 0.55931 |val entravg: 0.61033 |val acc:  0.70455 |val acc ravg:  0.67045 |
|epoch:  49 | lr: 0.000 |train ent: 0.51216 |train ent ravg: 0.50730 |train acc:  0.79261 |train acc ravg:  0.80398 |val ent: 0.63604 |val entravg: 0.64318 |val acc:  0.60227 |val acc ravg:  0.60606 |
|epoch:  50 | lr: 0.000 |train ent: 0.51291 |train ent ravg: 0.51264 |train acc:  0.80682 |train acc ravg:  0.80114 |val ent: 0.86793 |val entravg: 0.68776 |val acc:  0.47727 |val acc ravg:  0.59470 |
|epoch:  51 | lr: 0.000 |train ent: 0.48951 |train ent ravg: 0.50486 |train acc:  0.82386 |train acc ravg:  0.80777 |val ent: 0.52376 |val entravg: 0.67591 |val acc:  0.79545 |val acc ravg:  0.62500 |
|epoch:  52 | lr: 0.000 |train ent: 0.49286 |train ent ravg: 0.49843 |train acc:  0.82386 |train acc ravg:  0.81818 |val ent: 0.84181 |val entravg: 0.74450 |val acc:  0.50000 |val acc ravg:  0.59091 |
|epoch:  53 | lr: 0.000 |train ent: 0.49698 |train ent ravg: 0.49312 |train acc:  0.80966 |train acc ravg:  0.81913 |val ent: 0.51405 |val entravg: 0.62654 |val acc:  0.75000 |val acc ravg:  0.68182 |
|epoch:  54 | lr: 0.000 |train ent: 0.51658 |train ent ravg: 0.50214 |train acc:  0.77841 |train acc ravg:  0.80398 |val ent: 0.77296 |val entravg: 0.70961 |val acc:  0.51136 |val acc ravg:  0.58712 |
|epoch:  55 | lr: 0.000 |train ent: 0.49184 |train ent ravg: 0.50180 |train acc:  0.80966 |train acc ravg:  0.79924 |val ent: 0.51941 |val entravg: 0.60214 |val acc:  0.79545 |val acc ravg:  0.68561 |
|epoch:  56 | lr: 0.000 |train ent: 0.50304 |train ent ravg: 0.50382 |train acc:  0.80682 |train acc ravg:  0.79830 |val ent: 0.54123 |val entravg: 0.61120 |val acc:  0.69318 |val acc ravg:  0.66667 |
|epoch:  57 | lr: 0.000 |train ent: 0.49586 |train ent ravg: 0.49691 |train acc:  0.82386 |train acc ravg:  0.81345 |val ent: 0.52817 |val entravg: 0.52960 |val acc:  0.73864 |val acc ravg:  0.74242 |
|epoch:  58 | lr: 0.000 |train ent: 0.47588 |train ent ravg: 0.49159 |train acc:  0.84375 |train acc ravg:  0.82481 |val ent: 0.69099 |val entravg: 0.58680 |val acc:  0.56818 |val acc ravg:  0.66667 |
|epoch:  59 | lr: 0.000 |train ent: 0.49717 |train ent ravg: 0.48963 |train acc:  0.82670 |train acc ravg:  0.83144 |val ent: 0.67240 |val entravg: 0.63052 |val acc:  0.54545 |val acc ravg:  0.61742 |
|epoch:  60 | lr: 0.000 |train ent: 0.51196 |train ent ravg: 0.49500 |train acc:  0.78693 |train acc ravg:  0.81913 |val ent: 1.01641 |val entravg: 0.79326 |val acc:  0.46591 |val acc ravg:  0.52652 |
|epoch:  61 | lr: 0.000 |train ent: 0.48491 |train ent ravg: 0.49802 |train acc:  0.83807 |train acc ravg:  0.81723 |val ent: 0.50713 |val entravg: 0.73198 |val acc:  0.81818 |val acc ravg:  0.60985 |
|epoch:  62 | lr: 0.000 |train ent: 0.51560 |train ent ravg: 0.50416 |train acc:  0.79830 |train acc ravg:  0.80777 |val ent: 0.65181 |val entravg: 0.72511 |val acc:  0.55682 |val acc ravg:  0.61364 |
|epoch:  63 | lr: 0.000 |train ent: 0.48524 |train ent ravg: 0.49525 |train acc:  0.84375 |train acc ravg:  0.82670 |val ent: 0.56628 |val entravg: 0.57507 |val acc:  0.65909 |val acc ravg:  0.67803 |
|epoch:  64 | lr: 0.000 |train ent: 0.47368 |train ent ravg: 0.49151 |train acc:  0.84091 |train acc ravg:  0.82765 |val ent: 0.51225 |val entravg: 0.57678 |val acc:  0.78409 |val acc ravg:  0.66667 |
|epoch:  65 | lr: 0.000 |train ent: 0.47780 |train ent ravg: 0.47891 |train acc:  0.84091 |train acc ravg:  0.84186 |val ent: 0.54648 |val entravg: 0.54167 |val acc:  0.68182 |val acc ravg:  0.70833 |
|epoch:  66 | lr: 0.000 |train ent: 0.49272 |train ent ravg: 0.48140 |train acc:  0.82955 |train acc ravg:  0.83712 |val ent: 0.53087 |val entravg: 0.52987 |val acc:  0.79545 |val acc ravg:  0.75379 |
|epoch:  67 | lr: 0.000 |train ent: 0.48485 |train ent ravg: 0.48513 |train acc:  0.82955 |train acc ravg:  0.83333 |val ent: 0.65821 |val entravg: 0.57852 |val acc:  0.56818 |val acc ravg:  0.68182 |
