------------------------------------------------
Job ID: 38500915
Run on host: compg010.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Mon Mar 1 11:11:50 GMT 2021
------------------------------------------------
Loading ABIDE train data.
Loading ABIDE   val data.
Load model for sex - run: 0
Number of GPUs:  2

Full model is being trained with weights loaded from pre-trained model.
Start:  2021-03-01 11:12:44.378939
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.005 |train ent: 0.61036 |train ent ravg: 0.61036 |train acc:  0.67724 |train acc ravg:  0.67724 |val ent: 0.57791 |val entravg: 0.57791 |val acc:  0.74242 |val acc ravg:  0.74242 |
|epoch:   1 | lr: 0.005 |train ent: 0.57173 |train ent ravg: 0.59105 |train acc:  0.72575 |train acc ravg:  0.70149 |val ent: 0.55041 |val entravg: 0.56416 |val acc:  0.73485 |val acc ravg:  0.73864 |
|epoch:   2 | lr: 0.005 |train ent: 0.54312 |train ent ravg: 0.57507 |train acc:  0.72575 |train acc ravg:  0.70958 |val ent: 0.55685 |val entravg: 0.56173 |val acc:  0.75379 |val acc ravg:  0.74369 |
|epoch:   3 | lr: 0.005 |train ent: 0.50612 |train ent ravg: 0.55783 |train acc:  0.73507 |train acc ravg:  0.71595 |val ent: 0.49427 |val entravg: 0.54486 |val acc:  0.73864 |val acc ravg:  0.74242 |
|epoch:   4 | lr: 0.005 |train ent: 0.47992 |train ent ravg: 0.54225 |train acc:  0.76493 |train acc ravg:  0.72575 |val ent: 0.57920 |val entravg: 0.55173 |val acc:  0.73485 |val acc ravg:  0.74091 |
|epoch:   5 | lr: 0.005 |train ent: 0.45861 |train ent ravg: 0.51190 |train acc:  0.78918 |train acc ravg:  0.74813 |val ent: 0.53871 |val entravg: 0.54389 |val acc:  0.74242 |val acc ravg:  0.74091 |
|epoch:   6 | lr: 0.005 |train ent: 0.45863 |train ent ravg: 0.48928 |train acc:  0.79291 |train acc ravg:  0.76157 |val ent: 0.53095 |val entravg: 0.54000 |val acc:  0.74242 |val acc ravg:  0.74242 |
|epoch:   7 | lr: 0.005 |train ent: 0.43948 |train ent ravg: 0.46855 |train acc:  0.81157 |train acc ravg:  0.77873 |val ent: 0.42636 |val entravg: 0.51390 |val acc:  0.82955 |val acc ravg:  0.75758 |
|epoch:   8 | lr: 0.005 |train ent: 0.41115 |train ent ravg: 0.44956 |train acc:  0.82276 |train acc ravg:  0.79627 |val ent: 0.51291 |val entravg: 0.51763 |val acc:  0.78788 |val acc ravg:  0.76742 |
|epoch:   9 | lr: 0.005 |train ent: 0.35410 |train ent ravg: 0.42440 |train acc:  0.87127 |train acc ravg:  0.81754 |val ent: 0.45832 |val entravg: 0.49345 |val acc:  0.75758 |val acc ravg:  0.77197 |
|epoch:  10 | lr: 0.005 |train ent: 0.33751 |train ent ravg: 0.40018 |train acc:  0.86007 |train acc ravg:  0.83172 |val ent: 0.78844 |val entravg: 0.54340 |val acc:  0.73864 |val acc ravg:  0.77121 |
|epoch:  11 | lr: 0.005 |train ent: 0.31911 |train ent ravg: 0.37227 |train acc:  0.87873 |train acc ravg:  0.84888 |val ent: 0.73588 |val entravg: 0.58438 |val acc:  0.73485 |val acc ravg:  0.76970 |
|epoch:  12 | lr: 0.005 |train ent: 0.29932 |train ent ravg: 0.34424 |train acc:  0.88806 |train acc ravg:  0.86418 |val ent: 0.47044 |val entravg: 0.59320 |val acc:  0.75379 |val acc ravg:  0.75455 |
|epoch:  13 | lr: 0.005 |train ent: 0.29717 |train ent ravg: 0.32144 |train acc:  0.88619 |train acc ravg:  0.87687 |val ent: 0.54452 |val entravg: 0.59952 |val acc:  0.74621 |val acc ravg:  0.74621 |
|epoch:  14 | lr: 0.005 |train ent: 0.33017 |train ent ravg: 0.31666 |train acc:  0.86007 |train acc ravg:  0.87463 |val ent: 0.53642 |val entravg: 0.61514 |val acc:  0.73485 |val acc ravg:  0.74167 |
|epoch:  15 | lr: 0.005 |train ent: 0.26880 |train ent ravg: 0.30291 |train acc:  0.89552 |train acc ravg:  0.88172 |val ent: 0.43962 |val entravg: 0.54537 |val acc:  0.85227 |val acc ravg:  0.76439 |
|epoch:  16 | lr: 0.005 |train ent: 0.27466 |train ent ravg: 0.29402 |train acc:  0.89925 |train acc ravg:  0.88582 |val ent: 0.49170 |val entravg: 0.49654 |val acc:  0.76136 |val acc ravg:  0.76970 |
|epoch:  17 | lr: 0.005 |train ent: 0.25924 |train ent ravg: 0.28601 |train acc:  0.91791 |train acc ravg:  0.89179 |val ent: 2.03171 |val entravg: 0.80879 |val acc:  0.74242 |val acc ravg:  0.76742 |
|epoch:  18 | lr: 0.005 |train ent: 0.25577 |train ent ravg: 0.27773 |train acc:  0.90858 |train acc ravg:  0.89627 |val ent: 0.51452 |val entravg: 0.80279 |val acc:  0.74621 |val acc ravg:  0.76742 |
|epoch:  19 | lr: 0.005 |train ent: 0.22127 |train ent ravg: 0.25595 |train acc:  0.92537 |train acc ravg:  0.90933 |val ent: 0.38812 |val entravg: 0.77313 |val acc:  0.82197 |val acc ravg:  0.78485 |
|epoch:  20 | lr: 0.005 |train ent: 0.21991 |train ent ravg: 0.24617 |train acc:  0.92351 |train acc ravg:  0.91493 |val ent: 0.38094 |val entravg: 0.76140 |val acc:  0.83333 |val acc ravg:  0.78106 |
|epoch:  21 | lr: 0.005 |train ent: 0.17690 |train ent ravg: 0.22662 |train acc:  0.95149 |train acc ravg:  0.92537 |val ent: 0.51753 |val entravg: 0.76656 |val acc:  0.74621 |val acc ravg:  0.77803 |
