------------------------------------------------
Job ID: 40330648
Run on host: compg026.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Sat Mar 20 00:02:42 GMT 2021
------------------------------------------------
Test (in contrast to train):  False
Loading share 1.00 train data.
Loading share 1.00   val data.
Number of GPUs:  2
Epoch decay:  30
Gamma decay:  0.5

Full model is being trained with random initialization.
Start:  2021-03-20 00:02:48.725030
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train ent: 0.99856 |train ent ravg: 0.99856 |train acc:  0.57955 |train acc ravg:  0.57955 |val ent: 1.41828 |val entravg: 1.41828 |val acc:  0.55682 |val acc ravg:  0.55682 |
|epoch:   1 | lr: 0.100 |train ent: 0.68023 |train ent ravg: 0.83939 |train acc:  0.59943 |train acc ravg:  0.58949 |val ent: 0.85465 |val entravg: 1.13646 |val acc:  0.42045 |val acc ravg:  0.48864 |
|epoch:   2 | lr: 0.100 |train ent: 0.61823 |train ent ravg: 0.76567 |train acc:  0.64773 |train acc ravg:  0.60890 |val ent: 1.12246 |val entravg: 1.13180 |val acc:  0.44318 |val acc ravg:  0.47348 |
|epoch:   3 | lr: 0.100 |train ent: 0.57905 |train ent ravg: 0.71902 |train acc:  0.71307 |train acc ravg:  0.63494 |val ent: 3.63874 |val entravg: 1.75853 |val acc:  0.54545 |val acc ravg:  0.49148 |
|epoch:   4 | lr: 0.100 |train ent: 0.59933 |train ent ravg: 0.69508 |train acc:  0.69602 |train acc ravg:  0.64716 |val ent: 0.73071 |val entravg: 1.55297 |val acc:  0.47727 |val acc ravg:  0.48864 |
|epoch:   5 | lr: 0.100 |train ent: 0.62779 |train ent ravg: 0.62093 |train acc:  0.65909 |train acc ravg:  0.66307 |val ent: 3.93959 |val entravg: 2.05723 |val acc:  0.55682 |val acc ravg:  0.48864 |
|epoch:   6 | lr: 0.100 |train ent: 0.58828 |train ent ravg: 0.60254 |train acc:  0.70170 |train acc ravg:  0.68352 |val ent: 0.74356 |val entravg: 2.03501 |val acc:  0.47727 |val acc ravg:  0.50000 |
|epoch:   7 | lr: 0.100 |train ent: 0.58929 |train ent ravg: 0.59675 |train acc:  0.72443 |train acc ravg:  0.69886 |val ent: 0.62797 |val entravg: 1.93611 |val acc:  0.68182 |val acc ravg:  0.54773 |
|epoch:   8 | lr: 0.100 |train ent: 0.57793 |train ent ravg: 0.59652 |train acc:  0.67898 |train acc ravg:  0.69205 |val ent: 1.54722 |val entravg: 1.51781 |val acc:  0.45455 |val acc ravg:  0.52955 |
|epoch:   9 | lr: 0.100 |train ent: 0.59413 |train ent ravg: 0.59548 |train acc:  0.71023 |train acc ravg:  0.69489 |val ent: 0.96246 |val entravg: 1.56416 |val acc:  0.43182 |val acc ravg:  0.52045 |
|epoch:  10 | lr: 0.100 |train ent: 0.58622 |train ent ravg: 0.58717 |train acc:  0.69886 |train acc ravg:  0.70284 |val ent: 1.93394 |val entravg: 1.16303 |val acc:  0.55682 |val acc ravg:  0.52045 |
|epoch:  11 | lr: 0.100 |train ent: 0.51101 |train ent ravg: 0.57172 |train acc:  0.75284 |train acc ravg:  0.71307 |val ent: 4.47528 |val entravg: 1.90937 |val acc:  0.46591 |val acc ravg:  0.51818 |
|epoch:  12 | lr: 0.100 |train ent: 0.54522 |train ent ravg: 0.56290 |train acc:  0.73011 |train acc ravg:  0.71420 |val ent: 2.14342 |val entravg: 2.21247 |val acc:  0.44318 |val acc ravg:  0.47045 |
|epoch:  13 | lr: 0.100 |train ent: 0.52155 |train ent ravg: 0.55163 |train acc:  0.75852 |train acc ravg:  0.73011 |val ent: 8.47133 |val entravg: 3.59729 |val acc:  0.55682 |val acc ravg:  0.49091 |
|epoch:  14 | lr: 0.100 |train ent: 0.50558 |train ent ravg: 0.53392 |train acc:  0.74432 |train acc ravg:  0.73693 |val ent: 5.20709 |val entravg: 4.44621 |val acc:  0.46591 |val acc ravg:  0.49773 |
|epoch:  15 | lr: 0.100 |train ent: 0.57339 |train ent ravg: 0.53135 |train acc:  0.72159 |train acc ravg:  0.74148 |val ent: 1.10028 |val entravg: 4.27948 |val acc:  0.48864 |val acc ravg:  0.48409 |
|epoch:  16 | lr: 0.100 |train ent: 0.52519 |train ent ravg: 0.53419 |train acc:  0.73580 |train acc ravg:  0.73807 |val ent: 2.12025 |val entravg: 3.80848 |val acc:  0.45455 |val acc ravg:  0.48182 |
|epoch:  17 | lr: 0.100 |train ent: 0.49091 |train ent ravg: 0.52333 |train acc:  0.75000 |train acc ravg:  0.74205 |val ent: 17.43256 |val entravg: 6.86630 |val acc:  0.56818 |val acc ravg:  0.50682 |
|epoch:  18 | lr: 0.100 |train ent: 0.54083 |train ent ravg: 0.52718 |train acc:  0.73864 |train acc ravg:  0.73807 |val ent: 8.65075 |val entravg: 6.90219 |val acc:  0.55682 |val acc ravg:  0.50682 |
|epoch:  19 | lr: 0.100 |train ent: 0.58220 |train ent ravg: 0.54250 |train acc:  0.69318 |train acc ravg:  0.72784 |val ent: 8.60491 |val entravg: 7.58175 |val acc:  0.55682 |val acc ravg:  0.52500 |
|epoch:  20 | lr: 0.100 |train ent: 0.51461 |train ent ravg: 0.53075 |train acc:  0.74148 |train acc ravg:  0.73182 |val ent: 20.06459 |val entravg: 11.37461 |val acc:  0.54545 |val acc ravg:  0.53636 |
|epoch:  21 | lr: 0.100 |train ent: 0.56322 |train ent ravg: 0.53835 |train acc:  0.72727 |train acc ravg:  0.73011 |val ent: 2.51476 |val entravg: 11.45351 |val acc:  0.45455 |val acc ravg:  0.53636 |
|epoch:  22 | lr: 0.100 |train ent: 0.55686 |train ent ravg: 0.55154 |train acc:  0.73011 |train acc ravg:  0.72614 |val ent: 0.60026 |val entravg: 8.08705 |val acc:  0.72727 |val acc ravg:  0.56818 |
|epoch:  23 | lr: 0.100 |train ent: 0.52073 |train ent ravg: 0.54752 |train acc:  0.76136 |train acc ravg:  0.73068 |val ent: 1.20423 |val entravg: 6.59775 |val acc:  0.57955 |val acc ravg:  0.57273 |
|epoch:  24 | lr: 0.100 |train ent: 0.60787 |train ent ravg: 0.55266 |train acc:  0.70170 |train acc ravg:  0.73239 |val ent: 1.68294 |val entravg: 5.21335 |val acc:  0.45455 |val acc ravg:  0.55227 |
|epoch:  25 | lr: 0.100 |train ent: 0.51875 |train ent ravg: 0.55349 |train acc:  0.72443 |train acc ravg:  0.72898 |val ent: 6.18406 |val entravg: 2.43725 |val acc:  0.55682 |val acc ravg:  0.55455 |
|epoch:  26 | lr: 0.100 |train ent: 0.49296 |train ent ravg: 0.53943 |train acc:  0.77273 |train acc ravg:  0.73807 |val ent: 5.41522 |val entravg: 3.01734 |val acc:  0.54545 |val acc ravg:  0.57273 |
|epoch:  27 | lr: 0.100 |train ent: 0.52041 |train ent ravg: 0.53214 |train acc:  0.71875 |train acc ravg:  0.73580 |val ent: 0.50512 |val entravg: 2.99831 |val acc:  0.70455 |val acc ravg:  0.56818 |
|epoch:  28 | lr: 0.100 |train ent: 0.53025 |train ent ravg: 0.53405 |train acc:  0.72443 |train acc ravg:  0.72841 |val ent: 0.61898 |val entravg: 2.88126 |val acc:  0.61364 |val acc ravg:  0.57500 |
|epoch:  29 | lr: 0.100 |train ent: 0.47996 |train ent ravg: 0.50846 |train acc:  0.77273 |train acc ravg:  0.74261 |val ent: 0.52593 |val entravg: 2.64986 |val acc:  0.72727 |val acc ravg:  0.62955 |
|epoch:  30 | lr: 0.050 |train ent: 0.47891 |train ent ravg: 0.50050 |train acc:  0.78125 |train acc ravg:  0.75398 |val ent: 4.10438 |val entravg: 2.23392 |val acc:  0.45455 |val acc ravg:  0.60909 |
|epoch:  31 | lr: 0.050 |train ent: 0.42798 |train ent ravg: 0.48750 |train acc:  0.80682 |train acc ravg:  0.76080 |val ent: 5.17559 |val entravg: 2.18600 |val acc:  0.45455 |val acc ravg:  0.59091 |
|epoch:  32 | lr: 0.050 |train ent: 0.44218 |train ent ravg: 0.47186 |train acc:  0.78693 |train acc ravg:  0.77443 |val ent: 15.55963 |val entravg: 5.19690 |val acc:  0.55682 |val acc ravg:  0.56136 |
|epoch:  33 | lr: 0.050 |train ent: 0.43933 |train ent ravg: 0.45367 |train acc:  0.79830 |train acc ravg:  0.78920 |val ent: 1.54013 |val entravg: 5.38113 |val acc:  0.56818 |val acc ravg:  0.55227 |
|epoch:  34 | lr: 0.050 |train ent: 0.43832 |train ent ravg: 0.44534 |train acc:  0.78977 |train acc ravg:  0.79261 |val ent: 3.50470 |val entravg: 5.97689 |val acc:  0.54545 |val acc ravg:  0.51591 |
|epoch:  35 | lr: 0.050 |train ent: 0.43835 |train ent ravg: 0.43723 |train acc:  0.78977 |train acc ravg:  0.79432 |val ent: 1.43898 |val entravg: 5.44381 |val acc:  0.56818 |val acc ravg:  0.53864 |
|epoch:  36 | lr: 0.050 |train ent: 0.39934 |train ent ravg: 0.43151 |train acc:  0.81534 |train acc ravg:  0.79602 |val ent: 2.54384 |val entravg: 4.91746 |val acc:  0.44318 |val acc ravg:  0.53636 |
|epoch:  37 | lr: 0.050 |train ent: 0.56031 |train ent ravg: 0.45513 |train acc:  0.70170 |train acc ravg:  0.77898 |val ent: 0.60196 |val entravg: 1.92592 |val acc:  0.75000 |val acc ravg:  0.57500 |
|epoch:  38 | lr: 0.050 |train ent: 0.50770 |train ent ravg: 0.46881 |train acc:  0.75852 |train acc ravg:  0.77102 |val ent: 1.14526 |val entravg: 1.84695 |val acc:  0.46591 |val acc ravg:  0.55455 |
|epoch:  39 | lr: 0.050 |train ent: 0.46759 |train ent ravg: 0.47466 |train acc:  0.77557 |train acc ravg:  0.76818 |val ent: 2.74267 |val entravg: 1.69454 |val acc:  0.54545 |val acc ravg:  0.55455 |
|epoch:  40 | lr: 0.050 |train ent: 0.47080 |train ent ravg: 0.48115 |train acc:  0.79261 |train acc ravg:  0.76875 |val ent: 3.17387 |val entravg: 2.04152 |val acc:  0.45455 |val acc ravg:  0.53182 |
|epoch:  41 | lr: 0.050 |train ent: 0.41067 |train ent ravg: 0.48341 |train acc:  0.81818 |train acc ravg:  0.76932 |val ent: 16.90717 |val entravg: 4.91418 |val acc:  0.55682 |val acc ravg:  0.55455 |
|epoch:  42 | lr: 0.050 |train ent: 0.43198 |train ent ravg: 0.45775 |train acc:  0.80114 |train acc ravg:  0.78920 |val ent: 8.97530 |val entravg: 6.58885 |val acc:  0.43182 |val acc ravg:  0.49091 |
|epoch:  43 | lr: 0.050 |train ent: 0.45700 |train ent ravg: 0.44761 |train acc:  0.76989 |train acc ravg:  0.79148 |val ent: 12.90762 |val entravg: 8.94132 |val acc:  0.43182 |val acc ravg:  0.48409 |
|epoch:  44 | lr: 0.050 |train ent: 0.47472 |train ent ravg: 0.44903 |train acc:  0.78409 |train acc ravg:  0.79318 |val ent: 1.44277 |val entravg: 8.68134 |val acc:  0.54545 |val acc ravg:  0.48409 |
|epoch:  45 | lr: 0.050 |train ent: 0.43439 |train ent ravg: 0.44175 |train acc:  0.81250 |train acc ravg:  0.79716 |val ent: 1.60249 |val entravg: 8.36707 |val acc:  0.56818 |val acc ravg:  0.50682 |
|epoch:  46 | lr: 0.050 |train ent: 0.43480 |train ent ravg: 0.44658 |train acc:  0.79830 |train acc ravg:  0.79318 |val ent: 2.84151 |val entravg: 5.55394 |val acc:  0.45455 |val acc ravg:  0.48636 |
|epoch:  47 | lr: 0.050 |train ent: 0.37044 |train ent ravg: 0.43427 |train acc:  0.81818 |train acc ravg:  0.79659 |val ent: 1.97884 |val entravg: 4.15465 |val acc:  0.45455 |val acc ravg:  0.49091 |
|epoch:  48 | lr: 0.050 |train ent: 0.42478 |train ent ravg: 0.42783 |train acc:  0.81250 |train acc ravg:  0.80511 |val ent: 10.10137 |val entravg: 3.59340 |val acc:  0.56818 |val acc ravg:  0.51818 |
|epoch:  49 | lr: 0.050 |train ent: 0.44075 |train ent ravg: 0.42103 |train acc:  0.79830 |train acc ravg:  0.80795 |val ent: 0.60056 |val entravg: 3.42495 |val acc:  0.65909 |val acc ravg:  0.54091 |
|epoch:  50 | lr: 0.050 |train ent: 0.39008 |train ent ravg: 0.41217 |train acc:  0.82102 |train acc ravg:  0.80966 |val ent: 10.17467 |val entravg: 5.13939 |val acc:  0.44318 |val acc ravg:  0.51591 |
|epoch:  51 | lr: 0.050 |train ent: 0.40832 |train ent ravg: 0.40687 |train acc:  0.83239 |train acc ravg:  0.81648 |val ent: 1.15226 |val entravg: 4.80154 |val acc:  0.59091 |val acc ravg:  0.54318 |
|epoch:  52 | lr: 0.050 |train ent: 0.42925 |train ent ravg: 0.41864 |train acc:  0.79830 |train acc ravg:  0.81250 |val ent: 0.57667 |val entravg: 4.52111 |val acc:  0.72727 |val acc ravg:  0.59773 |
|epoch:  53 | lr: 0.050 |train ent: 0.40193 |train ent ravg: 0.41407 |train acc:  0.82386 |train acc ravg:  0.81477 |val ent: 0.67841 |val entravg: 2.63652 |val acc:  0.61364 |val acc ravg:  0.60682 |
|epoch:  54 | lr: 0.050 |train ent: 0.43620 |train ent ravg: 0.41316 |train acc:  0.77557 |train acc ravg:  0.81023 |val ent: 0.50362 |val entravg: 2.61713 |val acc:  0.84091 |val acc ravg:  0.64318 |
|epoch:  55 | lr: 0.050 |train ent: 0.42649 |train ent ravg: 0.42044 |train acc:  0.80114 |train acc ravg:  0.80625 |val ent: 0.97791 |val entravg: 0.77777 |val acc:  0.50000 |val acc ravg:  0.65455 |
|epoch:  56 | lr: 0.050 |train ent: 0.41771 |train ent ravg: 0.42232 |train acc:  0.81818 |train acc ravg:  0.80341 |val ent: 1.38732 |val entravg: 0.82479 |val acc:  0.45455 |val acc ravg:  0.62727 |
|epoch:  57 | lr: 0.050 |train ent: 0.37431 |train ent ravg: 0.41133 |train acc:  0.82670 |train acc ravg:  0.80909 |val ent: 0.53802 |val entravg: 0.81706 |val acc:  0.77273 |val acc ravg:  0.63636 |
|epoch:  58 | lr: 0.050 |train ent: 0.46614 |train ent ravg: 0.42417 |train acc:  0.80114 |train acc ravg:  0.80455 |val ent: 1.72512 |val entravg: 1.02640 |val acc:  0.44318 |val acc ravg:  0.60227 |
|epoch:  59 | lr: 0.050 |train ent: 0.41525 |train ent ravg: 0.41998 |train acc:  0.79545 |train acc ravg:  0.80852 |val ent: 1.17606 |val entravg: 1.16089 |val acc:  0.52273 |val acc ravg:  0.53864 |
|epoch:  60 | lr: 0.025 |train ent: 0.40505 |train ent ravg: 0.41569 |train acc:  0.78977 |train acc ravg:  0.80625 |val ent: 5.67517 |val entravg: 2.10034 |val acc:  0.55682 |val acc ravg:  0.55000 |
|epoch:  61 | lr: 0.025 |train ent: 0.31717 |train ent ravg: 0.39558 |train acc:  0.85511 |train acc ravg:  0.81364 |val ent: 4.98839 |val entravg: 2.82055 |val acc:  0.55682 |val acc ravg:  0.57045 |
|epoch:  62 | lr: 0.025 |train ent: 0.36183 |train ent ravg: 0.39309 |train acc:  0.83239 |train acc ravg:  0.81477 |val ent: 7.89173 |val entravg: 4.29129 |val acc:  0.45455 |val acc ravg:  0.50682 |
|epoch:  63 | lr: 0.025 |train ent: 0.33535 |train ent ravg: 0.36693 |train acc:  0.84659 |train acc ravg:  0.82386 |val ent: 0.45355 |val entravg: 4.03698 |val acc:  0.72727 |val acc ravg:  0.56364 |
|epoch:  64 | lr: 0.025 |train ent: 0.37172 |train ent ravg: 0.35822 |train acc:  0.84943 |train acc ravg:  0.83466 |val ent: 4.41542 |val entravg: 4.68485 |val acc:  0.44318 |val acc ravg:  0.54773 |
|epoch:  65 | lr: 0.025 |train ent: 0.30383 |train ent ravg: 0.33798 |train acc:  0.87216 |train acc ravg:  0.85114 |val ent: 3.37768 |val entravg: 4.22535 |val acc:  0.53409 |val acc ravg:  0.54318 |
|epoch:  66 | lr: 0.025 |train ent: 0.31355 |train ent ravg: 0.33726 |train acc:  0.87500 |train acc ravg:  0.85511 |val ent: 0.45630 |val entravg: 3.31894 |val acc:  0.80682 |val acc ravg:  0.59318 |
|epoch:  67 | lr: 0.025 |train ent: 0.32575 |train ent ravg: 0.33004 |train acc:  0.87784 |train acc ravg:  0.86420 |val ent: 12.62211 |val entravg: 4.26501 |val acc:  0.46591 |val acc ravg:  0.59545 |
|epoch:  68 | lr: 0.025 |train ent: 0.32117 |train ent ravg: 0.32720 |train acc:  0.87784 |train acc ravg:  0.87045 |val ent: 4.07969 |val entravg: 4.99024 |val acc:  0.46591 |val acc ravg:  0.54318 |
|epoch:  69 | lr: 0.025 |train ent: 0.30780 |train ent ravg: 0.31442 |train acc:  0.87216 |train acc ravg:  0.87500 |val ent: 19.97322 |val entravg: 8.10180 |val acc:  0.54545 |val acc ravg:  0.56364 |
|epoch:  70 | lr: 0.025 |train ent: 0.34725 |train ent ravg: 0.32310 |train acc:  0.83807 |train acc ravg:  0.86818 |val ent: 2.77292 |val entravg: 7.98085 |val acc:  0.54545 |val acc ravg:  0.56591 |
|epoch:  71 | lr: 0.025 |train ent: 0.31623 |train ent ravg: 0.32364 |train acc:  0.88352 |train acc ravg:  0.86989 |val ent: 1.46844 |val entravg: 8.18327 |val acc:  0.55682 |val acc ravg:  0.51591 |
|epoch:  72 | lr: 0.025 |train ent: 0.33675 |train ent ravg: 0.32584 |train acc:  0.84375 |train acc ravg:  0.86307 |val ent: 0.41435 |val entravg: 5.74172 |val acc:  0.80682 |val acc ravg:  0.58409 |
|epoch:  73 | lr: 0.025 |train ent: 0.28278 |train ent ravg: 0.31816 |train acc:  0.88920 |train acc ravg:  0.86534 |val ent: 3.49470 |val entravg: 5.62473 |val acc:  0.45455 |val acc ravg:  0.58182 |
|epoch:  74 | lr: 0.025 |train ent: 0.27671 |train ent ravg: 0.31194 |train acc:  0.88920 |train acc ravg:  0.86875 |val ent: 0.40763 |val entravg: 1.71161 |val acc:  0.79545 |val acc ravg:  0.63182 |
|epoch:  75 | lr: 0.025 |train ent: 0.35673 |train ent ravg: 0.31384 |train acc:  0.83807 |train acc ravg:  0.86875 |val ent: 1.83068 |val entravg: 1.52316 |val acc:  0.53409 |val acc ravg:  0.62955 |
|epoch:  76 | lr: 0.025 |train ent: 0.34250 |train ent ravg: 0.31909 |train acc:  0.86080 |train acc ravg:  0.86420 |val ent: 20.17378 |val entravg: 5.26423 |val acc:  0.44318 |val acc ravg:  0.60682 |
|epoch:  77 | lr: 0.025 |train ent: 0.31263 |train ent ravg: 0.31427 |train acc:  0.86932 |train acc ravg:  0.86932 |val ent: 5.75751 |val entravg: 6.33286 |val acc:  0.44318 |val acc ravg:  0.53409 |
|epoch:  78 | lr: 0.025 |train ent: 0.31981 |train ent ravg: 0.32168 |train acc:  0.84659 |train acc ravg:  0.86080 |val ent: 5.32581 |val entravg: 6.69908 |val acc:  0.44318 |val acc ravg:  0.53182 |
|epoch:  79 | lr: 0.025 |train ent: 0.28816 |train ent ravg: 0.32397 |train acc:  0.87216 |train acc ravg:  0.85739 |val ent: 2.34402 |val entravg: 7.08636 |val acc:  0.47727 |val acc ravg:  0.46818 |
|epoch:  80 | lr: 0.025 |train ent: 0.33404 |train ent ravg: 0.31943 |train acc:  0.84091 |train acc ravg:  0.85795 |val ent: 8.11911 |val entravg: 8.34405 |val acc:  0.45455 |val acc ravg:  0.45227 |
